
nPhi: 17, pillarRadius: 1000, guess: 1889693128955727.8, wavelengthGuess: 996.8028874348432
nPhi: 18, pillarRadius: 1000, guess: 2000851548306064.5, wavelengthGuess: 941.4249492440186
nPhi: 22, pillarRadius: 1250, guess: 1892892715267519.2, wavelengthGuess: 995.1179758450493
nPhi: 23, pillarRadius: 1250, guess: 1978933293234224.8, wavelengthGuess: 951.8519768952646
nPhi: 24, pillarRadius: 1250, guess: 2064973871200930.0, wavelengthGuess: 912.1914778579619
nPhi: 27, pillarRadius: 1500, guess: 1893727100642531.8, wavelengthGuess: 994.6795220228616
nPhi: 28, pillarRadius: 1500, guess: 1963865141407070.0, wavelengthGuess: 959.1552533791879
nPhi: 29, pillarRadius: 1500, guess: 2034003182171608.2, wavelengthGuess: 926.080934297147
nPhi: 32, pillarRadius: 1750, guess: 1893337917771577.5, wavelengthGuess: 994.8839822137376
nPhi: 33, pillarRadius: 1750, guess: 1952504727701939.2, wavelengthGuess: 964.7359827527152
nPhi: 34, pillarRadius: 1750, guess: 2011671537632301.0, wavelengthGuess: 936.3613950246942
nPhi: 37, pillarRadius: 2000, guess: 1892253653014512.2, wavelengthGuess: 995.4540525304548
nPhi: 38, pillarRadius: 2000, guess: 1943395643636526.2, wavelengthGuess: 969.2578932533374
nPhi: 39, pillarRadius: 2000, guess: 1994537634258540.0, wavelengthGuess: 944.4051267596622
nPhi: 40, pillarRadius: 2000, guess: 2045679624880554.0, wavelengthGuess: 920.7949985906705
nPhi: 42, pillarRadius: 2250, guess: 1890752328222983.8, wavelengthGuess: 996.2444785558961
nPhi: 43, pillarRadius: 2250, guess: 1935770240799721.5, wavelengthGuess: 973.0760023104102
nPhi: 44, pillarRadius: 2250, guess: 1980788153376459.2, wavelengthGuess: 950.9606386215372
nPhi: 45, pillarRadius: 2250, guess: 2025806065953197.0, wavelengthGuess: 929.828179985503
nPhi: 47, pillarRadius: 2500, guess: 1888993989388540.0, wavelengthGuess: 997.1718162632077
nPhi: 48, pillarRadius: 2500, guess: 1929185350864892.0, wavelengthGuess: 976.3974034243909
nPhi: 49, pillarRadius: 2500, guess: 1969376712341243.8, wavelengthGuess: 956.470925803485
nPhi: 50, pillarRadius: 2500, guess: 2009568073817595.8, wavelengthGuess: 937.3415072874153
nPhi: 51, pillarRadius: 2500, guess: 2049759435293947.8, wavelengthGuess: 918.9622620464855
