Radius [nm],DBR detune,Top DBR pairs,unetched DBR pairs,Oxide width [nm],nPhi,Polarisation,Wavelength [nm],Q-Factor,Mode Volume [nm^3],Purcell Factor,Beta Factor,Distance wall to mode max [nm],energyIntStructure,energyIntAir
1000,,12,16,180,17,Y,995.4058998143029,3481.4561132092645,264736534.96537012,22.067765516034726,0.9566494639758287,92.76546382731908,0.5657561454600903,0.003406820680874156
1000,,12,16,180,17,radial,966.0702681590898,3818.487871621095,271028172.1281403,21.612938279363267,0.9557775293221135,147.6457382286909,0.6903427411763764,0.00753258411992878
1000,,12,16,180,18,Y,949.6106877271501,3490.448353222983,244114330.43662927,20.832213011451813,0.9541961229731745,89.96544982724902,0.5673909777951494,0.003169539730688784
1000,,12,16,180,18,radial,922.6807210173325,3840.344742228742,251276055.6792414,20.42603771008249,0.9533278148050011,140.38570192850955,0.687042035491691,0.007020233454928541
1250,,12,16,180,22,Y,990.0837081284761,4267.2363799278955,359776837.4093099,19.585737444063312,0.9514226778264683,103.31551657758291,0.5655521252443296,0.002544585424166916
1250,,12,16,180,22,radial,969.2632541882765,4681.27887485693,356707073.01844734,20.3324036474348,0.9531229571441074,167.37333686668444,0.6629695182431921,0.005465355012932422
1250,,12,16,180,23,Y,953.8899883174997,4269.292235068193,337439990.50014067,18.683786230249797,0.94919676589135,100.61550307751531,0.566831606816701,0.002410451564268745
1250,,12,16,180,23,radial,934.4441481944754,4683.012710389273,340812145.37532645,19.075722848262387,0.9501885930803955,167.37333686668444,0.6587765349659658,0.005162433750172229
1250,,12,16,180,24,Y,920.4040873392653,4269.764941867356,318005661.5251586,17.81211192793273,0.9468427572709063,98.07299036495169,0.567609255620491,0.002289010151713265
1250,,12,16,180,24,radial,902.1602094853888,4683.6369612904155,324993368.47108,18.00405847104858,0.9473796609538203,147.9557397786989,0.654662755508983,0.004889765616438837
1500,,12,16,180,27,Y,988.3968324559763,5027.648233108358,463014441.8435833,17.839187330613672,0.9469191540775753,113.6805684028418,0.5648066142967986,0.002022861420189956
1500,,12,16,180,27,radial,973.1445815275856,5472.719421775686,461601744.8408364,18.589963297402175,0.9489534520908158,165.1058255291273,0.6405783406450769,0.004234872624171545
1500,,12,16,180,28,Y,958.3732306825882,5024.052243464355,439080955.03289336,17.136584021224433,0.9448628253903963,111.23055615278054,0.5658820743626224,0.001937460862274206
1500,,12,16,180,28,radial,943.9508968781857,5469.857246518961,442076088.4684461,17.706709495475724,0.9465432442706264,161.53080765403797,0.6374004411961726,0.004044880469840046
1500,,12,16,180,29,Y,930.2232588819094,5019.520249786445,417741421.3304711,16.45610075449993,0.9427134378940718,108.9055445277229,0.5666230457407341,0.001858620507263249
1500,,12,16,180,29,radial,916.5325836762198,5466.665228690281,424477702.70442486,16.870269054262234,0.9440411335182729,158.10579052895264,0.6343539027871691,0.003871103129498302
1750,,12,16,180,32,Y,988.3190960321984,5764.093378323807,575703003.6201856,16.44503330180873,0.9426770942365402,123.05061525307565,0.5638492898427717,0.001673894672124416
1750,,12,16,180,32,radial,976.9469975363666,6218.443529310964,570061852.5312479,17.305470327442336,0.9453715210747212,168.09584047920202,0.623828867400751,0.003438011037581942
1750,,12,16,180,33,Y,962.6137372423144,5755.472414676557,550281803.8251302,15.87313369987396,0.940734186204696,120.71310356551726,0.5647860136940569,0.001615086842342777
1750,,12,16,180,33,radial,951.7648953707788,6210.680684700622,548168736.1381007,16.61975701454689,0.9432455283478428,162.8708143540714,0.6214332540308269,0.00330937434548154
1750,,12,16,180,34,Y,938.2855102644593,5746.431601781931,527217469.9275796,15.318779419347425,0.9387209071032355,118.48559242796159,0.5654869856141445,0.001560087356627386
1750,,12,16,180,34,radial,927.9006671429295,6204.873305103162,528050223.7594658,15.972497641924434,0.9410811525152397,162.51331256656226,0.6191359141838974,0.003190153781760216
2000,,12,16,180,37,Y,989.0112535632261,6476.654498858619,694943358.2834342,15.339659012186567,0.9387992124404695,131.27565637828138,0.5628083682509675,0.001425206390734803
2000,,12,16,180,37,radial,980.4841491398312,6918.430527186523,685885032.6422489,16.176653170350267,0.9417814407683236,179.21589607948044,0.6109824774707474,0.002882780902283218
2000,,12,16,180,38,Y,966.506516086626,6463.958806045387,668040301.5564741,14.86349564537515,0.9369621915399498,129.11564557822817,0.5636405943071415,0.001382314115409647
2000,,12,16,180,38,radial,958.3168613780607,6910.410001424968,663948336.1197065,15.585028525160421,0.9397046560105131,176.27588137940734,0.6091323028359327,0.00279060390178895
2000,,12,16,180,39,Y,945.0585689357656,6450.631084363929,643310973.0727911,14.400186043523801,0.9350657195196335,127.01563507817582,0.5642998402870917,0.00134182447974868
2000,,12,16,180,39,radial,937.1683804013635,6902.183214166684,643586090.6644481,15.019082404729847,0.9375744518484569,173.39586697933532,0.6073502993426805,0.002704279814272708
2000,,12,16,180,40,Y,924.5903179943416,6437.694378466793,620521566.4833192,13.951862374774912,0.9331186995349097,125.00562502812545,0.5647975539320321,0.001303548552558248
2000,,12,16,180,40,radial,916.9691779635906,6894.800205114918,624630494.2082273,14.480161374730107,0.9354011902206391,170.63585317926527,0.6056337976057887,0.002623401312676622
2250,,12,16,180,42,Y,990.0795682839384,7166.139943895654,821166288.0003662,14.410370696296269,0.9351086343276388,139.9563247816236,0.5617494299034584,0.001240717904502598
2250,,12,16,180,42,radial,983.7166178518969,7581.863896503867,807482651.2346687,15.207698441080328,0.9383009251044935,182.34653673268394,0.6008495426337931,0.002473849202685724
2250,,12,16,180,43,Y,970.046816788781,7149.800358036969,793005026.8015027,14.002537490264242,0.9333446091603543,137.83006415032014,0.5624959174216458,0.001207949437721609
2250,,12,16,180,43,radial,963.9035698558463,7572.014638079474,783538518.0367533,14.72524551845419,0.9364079881089004,178.3302666513332,0.5993860101218139,0.002405041838735834
2250,,12,16,180,44,Y,950.8509781979354,7135.159264762605,766853681.5430856,13.609407619815043,0.9315509549720771,135.77130385651935,0.5631142520452028,0.001176747948721821
2250,,12,16,180,44,radial,944.8980811395871,7583.829900849613,760828619.7964152,14.307617733780722,0.9346730485833071,175.79900399502003,0.597974281652809,0.002340193663602014
2250,,12,16,180,45,Y,932.4391728540827,7116.688875177826,742506744.4251189,13.220558217323921,0.9296792724506574,133.78004390021897,0.5636062159802543,0.001147124164909393
2250,,12,16,180,45,radial,926.6646397735843,7553.065624720911,739858719.8700486,13.821428126517107,0.9325301184566085,175.79900399501912,0.5965970454459594,0.002278856543040286
2500,,12,16,180,47,Y,991.3302742624734,7833.460318460326,953518658.6076065,13.61727613928347,0.9315878012790269,147.85698928494594,0.5606813133086438,0.001101093886728827
2500,,12,16,180,47,radial,986.6546712973965,8208.89090199377,938447197.1215656,14.29489125713262,0.9346186917456075,187.5321876609387,0.592664090332574,0.002158364546921548
2500,,12,16,180,48,Y,973.2668001880215,7813.971773212025,924163455.6347278,13.262624040788133,0.9298866746301235,145.83197915989604,0.5613522765648636,0.001074969218786805
2500,,12,16,180,48,radial,968.7335587831592,8197.47338113475,913241933.0902976,13.884104997468155,0.932814233696275,183.55716778583837,0.591486570329631,0.002105548460533424
2500,,12,16,180,49,Y,955.8834441983062,7796.310957123635,896681349.393567,12.92041667882278,0.9281630698942147,143.8444692223461,0.5619261423609031,0.001049912694582008
2500,,12,16,180,49,radial,951.4719248725917,8206.302266516634,889090507.0293348,13.526958417195353,0.93116246558424,179.5071475357381,0.5903436313449466,0.002055517108837065
2500,,12,16,180,50,Y,939.1415224367873,7774.818845186226,870901613.9264778,12.581284853965577,0.9263692639722514,141.93195965979794,0.5624026262750248,0.001026005837876713
2500,,12,16,180,50,radial,934.8444706220199,8175.655183433303,865867487.362399,13.125018047482714,0.9292036302793811,175.26962634813117,0.5892227934887985,0.002007910464662336
2500,,12,16,180,51,Y,923.0037723164181,7755.298797472136,846688941.9919369,12.254504616124189,0.9245539513575262,140.094450472252,0.5627907993340963,0.001003068360701163
2500,,12,16,180,51,radial,918.8046385391494,8165.223047955191,843435327.9889746,12.77604658194442,0.9274102338394637,170.95710478552337,0.5881346486237892,0.001962659089581943
